"","SeqId","Target","ExternalCalibratorReference0x2ESL14381_8d0x2Exlsx","medianQCreplicate","madNQCreplicate","mLLOD","mULOD","RRCIratio","mLLOQ","mULOQ","n","L95ref_L90CI","L95ref_U90CI","L95ref","U95ref","U95ref_L90CI","U95ref_U90CI","ColNum"
"Ferritin.3031.66.1","3031-66_1","Ferritin",728.618174513227,2.9,0.04,NA,NA,6.6343,NA,NA,168,2.399,2.548,2.48,3.233,3.188,3.271,310
"FSH.3032.11.2","3032-11_2","FSH",2406.57832011161,3.41,0.02,NA,NA,5.1406,NA,NA,168,2.255,2.477,2.403,4.104,4.021,4.182,311
"Galectin.2.3033.57.1","3033-57_1","Galectin-2",670.965206461879,2.61,0.02,NA,NA,5.5549,NA,NA,168,2.57,2.616,2.588,3.016,2.973,3.054,312
"GFAP.3034.1.2","3034-1_2","GFAP",616.453041959877,2.72,0.02,NA,NA,5.9115,NA,NA,168,2.697,2.734,2.727,3.08,3.041,3.108,313
"IL.19.3035.80.2","3035-80_2","IL-19",9090.75597360195,3.99,0.03,NA,NA,3.6179,NA,NA,168,3.682,3.745,3.726,4.133,4.096,4.212,314
"IL.1b.3037.62.1","3037-62_1","IL-1b",1570.36280433355,3.07,0.07,3.537,NA,2.098,NA,NA,22,3.537,3.537,3.537,3.652,3.616,3.71,315
"I.TAC.3038.9.2","3038-9_2","I-TAC",3182.73148217078,3.31,0.03,NA,NA,5.8062,NA,NA,168,3.182,3.291,3.244,4.096,4.045,4.157,316
"MIP.1a.3040.59.1","3040-59_1","MIP-1a",725.771650267428,2.81,0.04,NA,NA,4.6942,NA,NA,168,2.711,2.797,2.766,3.339,3.302,3.41,317
"MRC2.3041.55.2","3041-55_2","MRC2",2558.58588690565,3.49,0.03,NA,NA,6.3152,NA,NA,168,3.177,3.228,3.199,3.585,3.567,3.625,318
"Myoglobin.3042.7.2","3042-7_2","Myoglobin",3218.10344309344,3.4,0.02,NA,NA,4.4037,NA,NA,168,3.162,3.212,3.191,3.732,3.688,3.809,319
"ON.3043.49.2","3043-49_2","ON",30116.1880307882,4,0.03,NA,NA,12.8102,NA,NA,168,3.917,4.006,3.963,4.945,4.925,4.975,320
"PARC.3044.3.2","3044-3_2","PARC",6363.55790040944,3.82,0.02,NA,NA,6.3067,NA,NA,168,3.553,3.655,3.626,4.27,4.233,4.316,321
"PTN.3045.72.2","3045-72_2","PTN",1032.285911053,2.99,0.03,NA,NA,5.0774,NA,NA,168,2.957,2.996,2.98,3.29,3.252,3.32,322
"resistin.3046.31.1","3046-31_1","resistin",1357.06296962399,3.09,0.03,NA,NA,5.1131,NA,NA,168,2.925,2.958,2.937,3.501,3.438,3.554,323
"KDGL.ECOLI.3047.95.2","3047-95_2","KDGL_ECOLI",157.144794728065,2.23,0.03,NA,NA,5.1952,NA,NA,168,2.047,2.102,2.078,2.528,2.471,2.562,324
"Trypsin.3049.61.2","3049-61_2","Trypsin",9532.35043920515,3.84,0.03,NA,NA,4.643,NA,NA,168,3.628,3.722,3.659,4.295,4.215,4.34,325
"vWF.3050.7.2","3050-7_2","vWF",4564.57134961406,4.11,0.07,NA,NA,6.6017,NA,NA,168,3.779,4.056,3.955,5.044,5.002,5.1,326
"Fas.ligand..soluble.3052.8.2","3052-8_2","Fas ligand, soluble",1465.21042494269,3.11,0.03,NA,NA,4.2055,NA,NA,168,2.916,2.976,2.957,3.501,3.42,3.555,327
"Flt3.ligand.3053.49.2","3053-49_2","Flt3 ligand",2976.45965363728,2.54,0.04,NA,NA,8.365,NA,NA,168,2.646,2.679,2.668,3.062,3.04,3.089,328
"Haptoglobin..Mixed.Type.3054.3.2","3054-3_2","Haptoglobin, Mixed Type",25474.167494428,4.52,0.02,NA,NA,8.0406,NA,NA,168,3.249,3.891,3.687,4.794,4.779,4.835,329
"IL.4.sR.3055.54.2","3055-54_2","IL-4 sR",329.457956241282,2.43,0.03,NA,NA,6.1869,NA,NA,168,2.422,2.469,2.444,2.799,2.756,2.816,330
"NKG2D.3056.11.1","3056-11_1","NKG2D",814.329185209245,2.74,0.03,NA,NA,4.4864,NA,NA,168,2.798,2.822,2.816,3.191,3.151,3.251,331
"WISP.1.3057.55.1","3057-55_1","WISP-1",6356.23579937844,3.92,0.13,4.183,3.643,7.6372,NA,NA,168,3.618,3.693,3.67,4.128,4.099,4.148,332
"BAFF.3059.50.2","3059-50_2","BAFF",1297.77678168578,3.1,0.03,NA,NA,4.3248,NA,NA,168,2.885,2.965,2.944,3.41,3.38,3.481,333
"C9.3060.43.2","3060-43_2","C9",73485.2202192109,4.77,0.03,NA,NA,6.8461,NA,NA,168,4.696,4.79,4.742,5.106,5.095,5.126,334
"Cathepsin.B.3061.61.2","3061-61_2","Cathepsin B",1633.05194789433,3.16,0.02,NA,NA,5.9421,NA,NA,168,3.126,3.161,3.149,3.488,3.457,3.521,335
"NEUA.NEIME.3062.6.2","3062-6_2","NEUA_NEIME",488.539855931936,2.39,0.02,NA,NA,4.5565,NA,NA,168,2.461,2.491,2.483,3.036,2.974,3.102,336
"FGF.5.3065.65.1","3065-65_1","FGF-5",343.47884986578,2.37,0.02,NA,NA,5.1538,NA,NA,168,2.488,2.511,2.506,2.91,2.876,2.966,337
"Galectin.3.3066.12.1","3066-12_1","Galectin-3",12251.802857418,4.21,0.02,NA,NA,5.9718,NA,NA,168,3.925,3.979,3.953,4.297,4.28,4.334,338
"GDF.9.3067.67.1","3067-67_1","GDF-9",631.247977991039,2.7,0.02,NA,NA,4.3632,NA,NA,168,2.788,2.815,2.808,3.122,3.1,3.185,339
"IgM.3069.52.3","3069-52_3","IgM",3186.39784732817,3.63,0.04,NA,NA,5.4574,NA,NA,168,2.964,3.203,3.136,4.066,3.998,4.115,340
"IL.2.3070.1.2","3070-1_2","IL-2",2368.64513178414,3.37,0.03,NA,NA,3.5253,NA,NA,168,3.216,3.31,3.291,3.636,3.609,3.7,341
"IL.13.3072.4.2","3072-4_2","IL-13",494.994074396935,2.63,0.03,NA,NA,4.4653,NA,NA,168,2.688,2.701,2.695,2.938,2.882,2.961,342
"IL.18.BPa.3073.51.2","3073-51_2","IL-18 BPa",10237.6434464328,4.05,0.06,NA,NA,3.5791,NA,NA,168,3.332,3.696,3.664,4.323,4.307,4.426,343
"LBP.3074.6.2","3074-6_2","LBP",32055.3113870043,4.46,0.04,NA,NA,5.0169,NA,NA,168,4.21,4.317,4.273,4.749,4.709,4.789,344
"Coagulation.Factor.Xa.3077.66.2","3077-66_2","Coagulation Factor Xa",7299.61575729298,3.94,0.05,3.935,3.744,4.8844,NA,NA,168,3.678,3.716,3.692,3.973,3.961,4.022,345
"PlGF.3078.1.2","3078-1_2","PlGF",304.018491662944,2.38,0.03,NA,NA,4.3652,NA,NA,168,2.462,2.484,2.477,2.775,2.704,2.797,346
"TIG2.3079.62.2","3079-62_2","TIG2",3029.00506816622,3.5,0.04,NA,NA,5.1426,NA,NA,168,3.378,3.419,3.399,3.792,3.765,3.846,347
"ULBP.1.3081.70.2","3081-70_2","ULBP-1",566.500111919533,2.69,0.03,NA,NA,5.1706,NA,NA,168,2.588,2.634,2.626,3.122,3.047,3.152,348
"ULBP.2.3082.9.2","3082-9_2","ULBP-2",397.557544927053,2.37,0.02,NA,NA,6.4229,NA,NA,168,2.411,2.436,2.429,2.791,2.754,2.82,349
"XEDAR.3083.71.1","3083-71_1","XEDAR",812.269226620064,2.81,0.02,NA,NA,4.2896,NA,NA,168,2.877,2.912,2.898,3.254,3.217,3.312,350
"Aurora.kinase.A.3091.70.2","3091-70_2","Aurora kinase A",1117.12044465683,2.76,0.02,NA,NA,4.5088,NA,NA,168,2.842,2.878,2.866,3.352,3.301,3.417,351
"DEAD.box.protein.19B.3104.8.2","3104-8_2","DEAD-box protein 19B",554.242723383398,2.57,0.03,NA,NA,6.9533,NA,NA,168,2.616,2.649,2.635,3.16,3.131,3.207,352
"MK01.3115.64.2","3115-64_2","MK01",2323.80670251764,3.75,0.06,NA,NA,11.7294,NA,NA,168,3.551,3.627,3.592,4.592,4.566,4.625,353
"SMAC.3122.6.2","3122-6_2","SMAC",6158.8552911534,3.79,0.18,4.391,3.688,5.7513,NA,NA,168,3.727,3.776,3.759,4.388,4.327,4.433,354
"TRAIL.R4.3129.73.2","3129-73_2","TRAIL R4",91706.4749114931,5.09,0.03,NA,NA,4.8208,NA,NA,168,4.794,4.871,4.846,5.171,5.142,5.201,355
"VEGF.C.3132.1.1","3132-1_1","VEGF-C",620.154643653785,2.71,0.02,NA,NA,4.8496,NA,NA,168,2.835,2.878,2.852,3.26,3.212,3.304,356
"sCD4.3143.3.1","3143-3_1","sCD4",370.339469397536,2.57,0.01,NA,NA,5.3745,NA,NA,168,2.61,2.638,2.628,2.819,2.796,2.836,357
"Gro.b.g.3148.49.1","3148-49_1","Gro-b/g",2072.52605958257,3.02,0.03,NA,NA,8.7024,NA,NA,168,2.965,3.056,3.01,3.9,3.874,3.947,358
"IL.2.sRa.3151.6.1","3151-6_1","IL-2 sRa",897.842170909726,2.81,0.03,NA,NA,4.0459,NA,NA,168,2.908,2.955,2.943,3.247,3.204,3.289,359
"TNF.sR.II.3152.57.1","3152-57_1","TNF sR-II",9565.33093374914,3.92,0.03,NA,NA,4.6281,NA,NA,168,3.819,3.881,3.849,4.321,4.279,4.381,360
"Siglec.3.3166.92.1","3166-92_1","Siglec-3",2990.88696506382,3.27,0.04,NA,NA,5.4519,NA,NA,168,2.967,3.188,3.122,3.828,3.797,3.883,361
"ADAMTS.5.3168.8.2","3168-8_2","ADAMTS-5",850.942078987996,2.82,0.02,NA,NA,7.9709,NA,NA,168,2.758,2.783,2.774,3.044,3.029,3.065,362
"IDUA.3169.70.2","3169-70_2","IDUA",1440.45601024638,2.96,0.02,NA,NA,10.9392,NA,NA,168,3.004,3.078,3.025,3.532,3.519,3.549,363
"AMPM2.3170.6.1","3170-6_1","AMPM2",8735.74603972152,4.03,0.03,NA,NA,8.7357,NA,NA,168,4.034,4.195,4.15,4.837,4.811,4.859,364
"amyloid.precursor.protein.3171.57.2","3171-57_2","amyloid precursor protein",27002.2528688824,4.07,0.02,NA,NA,7.2794,NA,NA,168,3.99,4.051,4.022,4.939,4.902,4.997,365
"ARSB.3172.28.2","3172-28_2","ARSB",1517.74915586125,2.94,0.02,NA,NA,8.3786,NA,NA,168,2.854,2.894,2.88,3.359,3.327,3.383,366
"ASAHL.3173.49.2","3173-49_2","ASAHL",11619.836038698,4.03,0.03,NA,NA,7.9046,NA,NA,168,3.462,3.591,3.559,4.389,4.366,4.439,367
"ATS1.3174.2.1","3174-2_1","ATS1",331.665272150435,2.35,0.02,NA,NA,8.5575,NA,NA,168,2.451,2.471,2.465,2.811,2.799,2.845,368
"ATS13.3175.51.5","3175-51_5","ATS13",4878.65379197478,3.64,0.03,NA,NA,5.5919,NA,NA,168,3.325,3.455,3.424,3.86,3.832,3.886,369
"Carbonic.Anhydrase.IV.3177.49.2","3177-49_2","Carbonic Anhydrase IV",923.634188419631,2.88,0.03,NA,NA,7.2524,NA,NA,168,2.746,2.782,2.765,3.177,3.146,3.205,370
"CATC.3178.5.2","3178-5_2","CATC",454.150712632555,2.58,0.03,2.753,NA,2.3391,NA,NA,34,2.753,2.753,2.753,2.834,2.8,2.863,371
"Cathepsin.A.3179.51.2","3179-51_2","Cathepsin A",10303.8612044162,3.8,0.03,NA,NA,3.9383,NA,NA,168,3.692,3.847,3.803,4.341,4.302,4.413,372
"Cathepsin.D.3180.46.2","3180-46_2","Cathepsin D",759.276572646525,2.84,0.05,NA,NA,4.5555,NA,NA,168,2.709,2.79,2.761,3.152,3.118,3.198,373
"Cathepsin.S.3181.50.2","3181-50_2","Cathepsin S",958.296716306375,2.92,0.02,NA,NA,4.1232,NA,NA,168,2.801,2.875,2.841,3.183,3.151,3.231,374
"CD39.3182.38.2","3182-38_2","CD39",1150.00571869924,3.04,0.03,3.205,NA,3.9102,NA,NA,28,3.207,3.212,3.208,3.349,3.288,3.35,375
"Coagulation.Factor.VII.3184.25.2","3184-25_2","Coagulation Factor VII",751.276838572268,2.86,0.03,NA,NA,4.8459,NA,NA,168,2.526,2.732,2.714,3.117,3.109,3.148,376
"C2.3186.2.2","3186-2_2","C2",2626.03191557853,3.46,0.03,3.54,3.423,4.7118,NA,NA,168,3.311,3.383,3.362,3.582,3.57,3.601,377
"CRIS3.3187.52.2","3187-52_2","CRIS3",526.501969376915,2.54,0.03,2.733,NA,3.1722,NA,NA,30,2.733,2.733,2.733,2.789,2.776,2.809,378
"Enterokinase.3189.61.2","3189-61_2","Enterokinase",304.298632031307,2.24,0.02,NA,NA,5.5935,NA,NA,168,2.287,2.307,2.298,2.542,2.521,2.575,379
"GAS1.3190.43.1","3190-43_1","GAS1",418.793565117918,2.59,0.03,2.804,NA,4.7304,NA,NA,34,2.804,2.804,2.804,2.914,2.896,2.937,380
"GASP.2.3191.50.2","3191-50_2","GASP-2",815.079555611601,2.84,0.04,NA,NA,4.8436,NA,NA,168,2.601,2.645,2.627,3.226,3.185,3.303,381
"Glutamate.carboxypeptidase.3192.3.2","3192-3_2","Glutamate carboxypeptidase",569.24601627871,2.67,0.02,NA,NA,4.2322,NA,NA,168,2.74,2.833,2.825,3.265,3.223,3.321,382
"GPVI.3194.36.2","3194-36_2","GPVI",2590.00140694793,3.39,0.02,NA,NA,11.0851,NA,NA,168,3.468,3.527,3.501,4.473,4.444,4.507,383
"Granulysin.3195.50.2","3195-50_2","Granulysin",1749.44381791862,3.3,0.02,NA,NA,6.6458,NA,NA,168,3.028,3.067,3.05,3.595,3.563,3.644,384
"HPLN1.3196.6.2","3196-6_2","HPLN1",1510.4279030039,3.25,0.02,NA,NA,8.4164,NA,NA,168,3.084,3.102,3.094,3.442,3.418,3.467,385
"IDE.3197.70.2","3197-70_2","IDE",2164.711378703,3.31,0.02,NA,NA,8.9799,NA,NA,168,3.334,3.43,3.402,3.922,3.901,3.941,386
"IDS.3198.4.1","3198-4_1","IDS",16233.0452776546,3.51,0.04,NA,NA,8.6088,NA,NA,168,3.349,3.403,3.382,3.82,3.789,3.834,387
"kallikrein.12.3199.54.2","3199-54_2","kallikrein 12",3412.71483238687,3.45,0.04,NA,NA,5.4869,NA,NA,168,3.228,3.303,3.272,3.876,3.842,3.939,388
"kallikrein.13.3200.49.2","3200-49_2","kallikrein 13",1015.31312414576,2.98,0.02,NA,NA,8.0029,NA,NA,168,2.942,2.957,2.95,3.288,3.258,3.31,389
"kallikrein.5.3201.49.2","3201-49_2","kallikrein 5",534.564359396972,2.73,0.02,NA,NA,4.6244,NA,NA,168,2.61,2.655,2.628,2.96,2.93,3.007,390
"KREM2.3202.28.2","3202-28_2","KREM2",767.538201218377,2.84,0.04,NA,NA,7.1492,NA,NA,168,2.907,3.033,2.994,3.61,3.579,3.642,391
"LKHA4.3204.2.2","3204-2_2","LKHA4",624.884856392962,2.79,0.03,NA,NA,8.0132,NA,NA,168,2.761,2.806,2.792,3.195,3.161,3.211,392
"LYVE1.3206.4.2","3206-4_2","LYVE1",228.717818453152,2.5,0.05,NA,NA,5.0104,NA,NA,168,2.227,2.25,2.236,2.638,2.606,2.698,393
"MATN3.3208.2.4","3208-2_4","MATN3",172.98163592151,2.17,0.03,2.432,NA,1.4551,NA,NA,26,2.432,2.432,2.432,2.524,2.432,2.554,394
"MEPE.3209.69.1","3209-69_1","MEPE",366.437574647833,2.36,0.02,NA,NA,5.6243,NA,NA,168,2.353,2.385,2.372,2.657,2.614,2.674,395
"METAP1.3210.1.2","3210-1_2","METAP1",403.180946443465,2.83,0.02,NA,NA,6.8035,NA,NA,168,2.98,3.186,3.145,4.395,4.363,4.468,396
"ASAH2.3212.30.3","3212-30_3","ASAH2",4027.17034325459,3.36,0.02,NA,NA,6.9012,NA,NA,168,3.14,3.272,3.224,3.865,3.823,3.892,397
"Nidogen.3213.65.2","3213-65_2","Nidogen",4242.28654922951,3.59,0.03,NA,NA,4.983,NA,NA,168,3.5,3.567,3.535,3.877,3.844,3.909,398
"NRP1.3214.3.2","3214-3_2","NRP1",928.752508989063,3.06,0.02,NA,NA,7.7961,NA,NA,168,2.823,2.852,2.839,3.14,3.124,3.164,399
"PIGR.3216.2.2","3216-2_2","PIGR",3474.56147497044,3.46,0.02,NA,NA,7.8881,NA,NA,168,3.157,3.279,3.229,3.97,3.936,4.005,400
"Protease.nexin.I.3217.74.2","3217-74_2","Protease nexin I",927.043258404527,2.83,0.04,NA,NA,7.3865,NA,NA,168,2.931,2.971,2.956,3.463,3.425,3.494,401
"PSMA.3218.8.2","3218-8_2","PSMA",1816.35193117651,3.19,0.05,NA,NA,6.9631,NA,NA,168,3.118,3.17,3.137,3.486,3.474,3.518,402
"RET.3220.40.2","3220-40_2","RET",1169.49939101987,3.07,0.02,NA,NA,3.957,NA,NA,168,2.752,2.81,2.782,3.256,3.225,3.343,403
"Semaphorin.3A.3222.11.2","3222-11_2","Semaphorin 3A",895.777191219214,2.95,0.03,NA,NA,3.6623,NA,NA,168,2.926,2.947,2.942,3.181,3.17,3.252,404
"TrATPase.3232.28.2","3232-28_2","TrATPase",7589.26993362781,3.85,0.02,NA,NA,6.1206,NA,NA,168,3.601,3.646,3.628,4.065,4.054,4.124,405
"URB.3234.23.2","3234-23_2","URB",1862.51594743791,3.26,0.02,NA,NA,5.1082,NA,NA,168,3.089,3.154,3.126,3.569,3.534,3.618,406
"WFKN2.3235.50.2","3235-50_2","WFKN2",7046.93068967147,3.77,0.02,NA,NA,4.7649,NA,NA,168,3.407,3.5,3.476,4.083,4.034,4.147,407
"GSK.3.alpha.beta.3236.12.2","3236-12_2","GSK-3 alpha/beta",1861.22981126794,3.29,0.04,NA,NA,14.1777,NA,NA,168,3.299,3.419,3.384,4.565,4.543,4.593,408
"Aggrecan.3280.49.2","3280-49_2","Aggrecan",395.822064835723,2.57,0.03,NA,NA,6.6403,NA,NA,168,2.583,2.595,2.589,2.9,2.863,2.926,409
"ANGL3.3281.19.1","3281-19_1","ANGL3",498.081028356724,2.66,0.02,NA,NA,5.7542,NA,NA,168,2.781,2.816,2.805,3.1,3.069,3.126,410
"BGH3.3283.21.1","3283-21_1","BGH3",46110.5178875983,4.68,0.03,NA,NA,9.2986,NA,NA,168,4.522,4.561,4.544,4.912,4.899,4.935,411
"BGN.3284.75.1","3284-75_1","BGN",2397.1764361383,3.36,0.02,NA,NA,3.6532,NA,NA,168,3.192,3.267,3.247,3.674,3.651,3.763,412
"C1r.3285.23.2","3285-23_2","C1r",3618.2619073243,3.33,0.03,NA,NA,5.4731,NA,NA,168,2.754,2.888,2.815,3.758,3.711,3.832,413
"Carbonic.Anhydrase.X.3289.19.2","3289-19_2","Carbonic Anhydrase X",613.62069750969,2.73,0.03,NA,NA,3.3386,NA,NA,168,2.701,2.734,2.724,2.987,2.97,3.063,414
"CD109.3290.50.2","3290-50_2","CD109",5176.06831950568,3.86,0.03,NA,NA,6.7843,NA,NA,168,3.406,3.54,3.488,4,3.977,4.026,415
"CD23.3291.30.2","3291-30_2","CD23",4299.3222667877,3.56,0.02,NA,NA,9.1857,NA,NA,168,3.383,3.457,3.43,3.953,3.941,3.984,416
"CD48.3292.75.1","3292-75_1","CD48",561.047976032471,2.75,0.01,NA,NA,4.2656,NA,NA,168,2.689,2.708,2.701,2.985,2.95,3.036,417
"CD5L.3293.2.4","3293-2_4","CD5L",2165.20987930793,3.22,0.05,NA,NA,4.8958,NA,NA,168,3.06,3.167,3.114,3.762,3.69,3.807,418
"CFC1.3294.55.2","3294-55_2","CFC1",1243.94162355831,3.08,0.02,NA,NA,4.5044,NA,NA,168,3.146,3.223,3.201,3.473,3.448,3.498,419
"CNTN2.3296.92.2","3296-92_2","CNTN2",922.146665124264,2.97,0.02,NA,NA,6.4783,NA,NA,168,2.616,2.74,2.711,3.258,3.225,3.288,420
"Contactin.4.3298.52.2","3298-52_2","Contactin-4",5872.18865971303,3.83,0.02,NA,NA,6.6935,NA,NA,168,3.59,3.638,3.615,3.926,3.914,3.956,421
"Contactin.5.3299.29.2","3299-29_2","Contactin-5",374.714069514403,2.61,0.02,NA,NA,6.5742,NA,NA,168,2.52,2.541,2.532,2.803,2.786,2.836,422
"CYTF.3302.58.1","3302-58_1","CYTF",704.206452331207,2.77,0.02,NA,NA,6.4738,NA,NA,168,2.652,2.789,2.741,3.213,3.188,3.233,423
"Cystatin.M.3303.23.2","3303-23_2","Cystatin M",7247.69651992996,3.92,0.02,NA,NA,6.3936,NA,NA,168,3.447,3.558,3.51,4.125,4.078,4.156,424
"DLL4.3305.6.1","3305-6_1","DLL4",517.726029050643,2.65,0.03,2.909,NA,3.5267,NA,NA,28,2.909,2.909,2.909,3.028,3.004,3.062,425
"FCG2A.B.3309.2.2","3309-2_2","FCG2A/B",5880.30699481163,3.93,0.04,NA,NA,7.4536,NA,NA,168,2.116,2.165,2.139,4.249,4.212,4.322,426
"FCG2A.B.3310.62.1","3310-62_1","FCG2A/B",2517.09727795978,3.65,0.07,NA,NA,6.2757,NA,NA,168,2.953,3.001,2.973,4.021,3.962,4.083,427
"FCG3B.3311.27.1","3311-27_1","FCG3B",1126.678482071,3.17,0.03,NA,NA,9.0563,NA,NA,168,2.834,2.909,2.867,3.338,3.32,3.358,428
"FCGR1.3312.64.1","3312-64_1","FCGR1",254.507157206951,2.48,0.04,NA,NA,8.1157,NA,NA,168,2.387,2.416,2.404,2.842,2.806,2.865,429
"FCN2.3313.21.2","3313-21_2","FCN2",6483.35795122057,3.78,0.03,NA,NA,6.3788,NA,NA,168,3.269,3.447,3.348,4.069,4.034,4.109,430
"GFRa.1.3314.74.2","3314-74_2","GFRa-1",1235.37838965455,3.07,0.02,NA,NA,6.9117,NA,NA,168,2.907,2.985,2.947,3.422,3.408,3.463,431
"GPC2.3315.15.1","3315-15_1","GPC2",219.684795392972,2.24,0.02,NA,NA,3.0729,NA,NA,168,2.305,2.322,2.314,2.553,2.511,2.617,432
"Heparin.cofactor.II.3316.58.1","3316-58_1","Heparin cofactor II",2619.99220977276,3.5,0.02,NA,NA,5.6536,NA,NA,168,3.236,3.297,3.276,3.583,3.556,3.605,433
"HTRA2.3317.33.1","3317-33_1","HTRA2",3250.12451886183,3.47,0.03,NA,NA,5.7735,NA,NA,168,3.551,3.6,3.575,3.994,3.974,4.046,434
"IGFBP.7.3320.49.2","3320-49_2","IGFBP-7",51227.1270264539,4.66,0.02,NA,NA,5.3498,NA,NA,168,4.545,4.614,4.575,4.935,4.909,4.969,435
"IL24.3321.2.2","3321-2_2","IL24",493.400971187958,2.21,0.03,NA,NA,6.9733,NA,NA,168,2.373,2.408,2.39,2.961,2.919,3.001,436
"LRIG3.3322.52.2","3322-52_2","LRIG3",7549.18381270282,3.93,0.02,NA,NA,5.7464,NA,NA,168,3.541,3.649,3.614,4.134,4.104,4.177,437
"LRP8.3323.37.1","3323-37_1","LRP8",2666.24466831251,3.41,0.01,NA,NA,6.8007,NA,NA,168,3.194,3.25,3.238,3.593,3.568,3.616,438
"LY9.3324.51.1","3324-51_1","LY9",2979.20233714717,3.5,0.04,NA,NA,4.1254,NA,NA,168,3.102,3.226,3.199,3.771,3.717,3.838,439
"MATN2.3325.2.2","3325-2_2","MATN2",13483.4180524608,4.13,0.02,NA,NA,10.8784,NA,NA,168,3.987,4.013,4.001,4.306,4.291,4.319,440
"Nectin.like.protein.2.3326.58.2","3326-58_2","Nectin-like protein 2",2319.53003254778,3.39,0.04,NA,NA,5.9161,NA,NA,168,3.045,3.17,3.125,3.632,3.588,3.653,441
"NET4.3327.27.1","3327-27_1","NET4",851.922326428547,2.95,0.02,NA,NA,8.4061,NA,NA,168,2.871,2.908,2.888,3.226,3.201,3.24,442
"PGRP.S.3329.14.2","3329-14_2","PGRP-S",1009.95029412032,3.16,0.04,NA,NA,3.9011,NA,NA,168,2.406,2.519,2.463,3.287,3.189,3.364,443
"RGMB.3331.8.1","3331-8_1","RGMB",1640.21205693185,3.16,0.02,NA,NA,6.2273,NA,NA,168,3.086,3.118,3.115,3.386,3.368,3.415,444
"RGM.C.3332.57.1","3332-57_1","RGM-C",10967.3069864742,4.02,0.02,NA,NA,4.7376,NA,NA,168,3.797,3.838,3.827,4.238,4.21,4.302,445
"TFPI.3336.50.1","3336-50_1","TFPI",50897.9159246807,4.8,0.02,NA,NA,4.7577,NA,NA,168,4.519,4.654,4.628,4.958,4.939,4.978,446
"TSP2.3339.33.1","3339-33_1","TSP2",18496.9447784051,3.99,0.02,NA,NA,5.9071,NA,NA,168,3.812,3.927,3.876,4.701,4.639,4.749,447
"TSP4.3340.53.1","3340-53_1","TSP4",476.650441910554,2.68,0.04,NA,NA,5.4089,NA,NA,168,2.495,2.568,2.529,2.987,2.947,3.026,448
"ABL1.3341.33.4","3341-33_4","ABL1",183.189256495374,2.2,0.02,NA,NA,3.3036,NA,NA,168,2.273,2.301,2.287,2.469,2.436,2.507,449
"ABL2.3342.76.4","3342-76_4","ABL2",158.708431655087,2.14,0.02,NA,NA,6.9948,NA,NA,168,2.243,2.286,2.264,2.592,2.568,2.614,450
"Aminoacylase.1.3343.1.4","3343-1_4","Aminoacylase-1",5884.37037025876,3.72,0.02,NA,NA,6.5891,NA,NA,168,3.247,3.39,3.294,4.15,4.108,4.199,451
"Antithrombin.III.3344.60.4","3344-60_4","Antithrombin III",83157.2272464589,4.95,0.02,NA,NA,4.3134,NA,NA,168,4.789,4.835,4.816,5.019,5.004,5.05,452
"AURKB.3346.72.2","3346-72_2","AURKB",802.786387989786,2.89,0.03,NA,NA,6.4709,NA,NA,168,2.871,2.9,2.893,3.112,3.094,3.131,453
"BARK1.3347.9.2","3347-9_2","BARK1",1536.73859973572,3.31,0.02,NA,NA,12.3172,NA,NA,168,3.33,3.473,3.425,4.445,4.42,4.471,454
"BMP.1.3348.49.2","3348-49_2","BMP-1",2352.33949338895,3.5,0.03,NA,NA,4.8871,NA,NA,168,3.2,3.272,3.243,3.701,3.667,3.755,455
"CAMK2A.3350.53.2","3350-53_2","CAMK2A",332.582964419117,2.56,0.02,NA,NA,6.0194,NA,NA,168,2.698,2.787,2.744,3.77,3.719,3.839,456
"CAMK2B.3351.1.1","3351-1_1","CAMK2B",758.926993362781,3.1,0.02,NA,NA,7.814,NA,NA,168,2.986,3.136,3.097,4.105,4.069,4.155,457
"Carbonic.anhydrase.6.3352.80.3","3352-80_3","Carbonic anhydrase 6",6840.69141889366,3.97,0.02,NA,NA,11.7878,NA,NA,168,3.144,3.253,3.211,4.049,4.035,4.082,458
"Carbonic.anhydrase.VII.3356.50.1","3356-50_1","Carbonic anhydrase VII",145.814260614747,2.13,0.02,NA,NA,5.4543,NA,NA,168,2.116,2.151,2.133,2.493,2.46,2.534,459
"CDK2.cyclin.A.3357.67.2","3357-67_2","CDK2/cyclin A",486.071323520125,2.63,0.01,NA,NA,4.5366,NA,NA,168,2.584,2.628,2.614,2.818,2.801,2.845,460
"CDK5.p35.3358.51.2","3358-51_2","CDK5/p35",676.861792919746,2.71,0.05,NA,NA,4.4391,NA,NA,168,2.679,2.723,2.697,3.023,3.003,3.081,461
"CDK8.cyclin.C.3359.11.2","3359-11_2","CDK8/cyclin C",494.880110920286,2.67,0.03,NA,NA,7.2273,NA,NA,168,2.653,2.862,2.789,3.54,3.5,3.565,462
"Chk2.3360.50.4","3360-50_4","Chk2",2322.20202801473,2.29,0.04,NA,NA,7.1985,NA,NA,168,2.328,2.363,2.348,2.889,2.843,2.92,463
"CLC4K.3361.26.2","3361-26_2","CLC4K",232.648362451824,2.29,0.02,NA,NA,4.0613,NA,NA,168,2.262,2.301,2.286,2.498,2.472,2.531,464
